# Wavelength (µm)	QE
1.153	0.473556846
1.154	0.474304822
1.155	0.475149595
1.156	0.476223161
1.157	0.477067934
1.158	0.477912707
1.159	0.478863076
1.16	0.479479057
1.161	0.480429426
1.162	0.481916579
1.163	0.48313094
1.164	0.484442098
1.165	0.485806054
1.166	0.487284407
1.167	0.488701162
1.168	0.490716297
1.169	0.492326646
1.17	0.493945794
1.171	0.495204153
1.172	0.496779303
1.173	0.498090461
1.174	0.499322422
1.175	0.500677578
1.176	0.501513552
1.177	0.501927138
1.178	0.502463921
1.179	0.502657515
1.18	0.502639916
1.181	0.502296727
1.182	0.502023935
1.183	0.501627948
1.184	0.501443154
1.185	0.50093277
1.186	0.500422386
1.187	0.499780007
1.188	0.49906723
1.189	0.498213657
1.19	0.497316086
1.191	0.496048926
1.192	0.494966561
1.193	0.493637804
1.194	0.491957057
1.195	0.490593101
1.196	0.48968673
1.197	0.487953185
1.198	0.486835621
1.199	0.485234073
1.2	0.483896515
1.201	0.483166139
1.202	0.482101373
1.203	0.481722985
1.204	0.480799014
1.205	0.48029743
1.206	0.480059838
1.207	0.479628652
1.208	0.479540655
1.209	0.479197466
1.21	0.479171067
1.211	0.479083069
1.212	0.479285463
1.213	0.479523055
1.214	0.47968145
1.215	0.480147835
1.216	0.480957409
1.217	0.481714185
1.218	0.48251496
1.219	0.483394931
1.22	0.484178106
1.221	0.484785287
1.222	0.486298838
1.223	0.487390004
1.224	0.488780359
1.225	0.489977121
1.226	0.490909891
1.227	0.492036255
1.228	0.492740232
1.229	0.49344421
1.23	0.494271383
1.231	0.495054558
1.232	0.495802534
1.233	0.49655051
1.234	0.497342485
1.235	0.498028863
1.236	0.498389652
1.237	0.498372052
1.238	0.49843365
1.239	0.498495248
1.24	0.498275255
1.241	0.498213657
1.242	0.497773671
1.243	0.497377684
1.244	0.497016895
1.245	0.496673706
1.246	0.496216121
1.247	0.495415347
1.248	0.494526575
1.249	0.493593805
1.25	0.492687434
1.251	0.491596269
1.252	0.490980289
1.253	0.48999472
1.254	0.489334741
1.255	0.488481169
1.256	0.487328405
1.257	0.486193242
1.258	0.485040479
1.259	0.484142907
1.26	0.48311334
1.261	0.482330165
1.262	0.481722985
1.263	0.481230201
1.264	0.480385428
1.265	0.47968145
1.266	0.479091869
1.267	0.478695882
1.268	0.478299894
1.269	0.4781151
1.27	0.477666315
1.271	0.477578317
1.272	0.477525519
1.273	0.477595917
1.274	0.477622316
1.275	0.477956705
1.276	0.478282295
1.276	0.47874868
1.278	0.479320662
1.279	0.480024639
1.28	0.480746216
1.281	0.481687786
1.282	0.482673354
1.283	0.483614924
1.284	0.484433298
1.285	0.485278071
1.286	0.486228441
1.287	0.487205209
1.288	0.488155579
1.289	0.48938754
1.29	0.490707497
1.291	0.491807462
1.292	0.492837029
1.293	0.493514608
1.294	0.494306582
1.295	0.495468145
1.296	0.496365716
1.297	0.497078493
1.298	0.497738472
1.299	0.498548046
1.3	0.498838437
1.301	0.499313622
1.302	0.499463217
1.303	0.49968321
1.304	0.499762408
1.305	0.499762408
1.306	0.499612812
1.307	0.499287223
1.308	0.499199226
1.309	0.498864836
1.31	0.498688842
1.311	0.498336853
1.312	0.497641675
1.313	0.496708905
1.314	0.49592573
1.315	0.495072158
1.316	0.494218585
1.317	0.493382612
1.318	0.492652235
1.319	0.491781063
1.32	0.490575502
1.321	0.489431538
1.322	0.488375572
1.323	0.487521999
1.324	0.486474833
1.325	0.485682858
1.326	0.484978881
1.327	0.483922914
1.328	0.483218937
1.329	0.482409363
1.33	0.481670187
1.331	0.481098205
1.332	0.480799014
1.333	0.480271031
1.334	0.47969025
1.335	0.478951074
1.336	0.478572686
1.337	0.478361492
1.338	0.478467089
1.339	0.478537487
1.34	0.478555086
